Product Name,Current Inventory Level,Lead Time (in days),Sales Velocity (in units per day),Highest Sales Month,Supplier,Unit Cost,Reorder Point,Safety Stock,Festivals,Supplier Lead Time (in days),Category,Last Restock Date,Next Restock Date
"
Forever 21 Denim Shorts",45,4,8,April,Forever 21 Store,39,15,5,Christmas LastDay,5,Women's Fashion,2023-04-16,2023-05-16
"
Mango Striped Maxi Dress",30,3,9,May,Mango Store,69,10,5,,7,Women's Fashion,2023-04-15,2023-05-15
"
Zara Ruffle Top",40,4,8,June,Zara Store,49,15,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
H&M Linen Pants",35,3,9,July,H&M Store,39,10,5,Ganesh Chaturthi,3,Women's Fashion,2023-04-15,2023-05-15
"
Forever 21 Knit Sweater",50,5,7,August,Forever 21 Store,29,20,10,,7,Women's Fashion,2023-04-20,2023-05-20
"
Mango Wrap Skirt",45,4,8,September,Mango Store,69,15,5,NewYearPeriod,5,Women's Fashion,2023-04-16,2023-05-16
"
ASOS Floral Maxi Dress",30,4,6,July,ASOS Store,59,10,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
Topshop Embroidered Jacket",40,3,8,August,Topshop Store,79,15,5,Republic Day,3,Women's Fashion,2023-04-15,2023-05-15
"
Zalando Wide Leg Trousers",35,5,7,September,Zalando Store,69,20,10,,7,Women's Fashion,2023-04-20,2023-04-21
"
H&M Off-Shoulder Blouse",50,4,8,October,H&M Store,49,15,5,Holi_Day,5,Women's Fashion,2023-04-16,2023-05-16
"
Forever 21 Denim Skirt",45,3,9,November,Forever 21 Store,39,10,5,Independence Day,7,Women's Fashion,2023-04-15,2023-05-15
"
Mango Lace Midi Dress",30,5,7,December,Mango Store,79,20,10,,7,Women's Fashion,2023-04-20,2023-05-20
"
Zara Striped Blazer",40,4,8,January,Zara Store,69,15,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
ASOS Ruffle Hem Top",35,3,9,February,ASOS Store,49,10,5,Dushhera,3,Women's Fashion,2023-04-15,2023-05-15
"
Topshop Suede Skirt",50,5,7,March,Topshop Store,59,20,10,,7,Women's Fashion,2023-04-20,2023-05-20
"
Zalando Floral Jumpsuit",45,4,8,April,Zalando Store,69,15,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
H&M Striped Shirt Dress",30,3,9,May,H&M Store,59,10,5,MerryChristmas,7,Women's Fashion,2023-04-15,2023-05-15
"
Forever 21 Wrap Top",40,4,8,June,Forever 21 Store,39,15,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
Mango Pleated Midi Skirt",35,3,9,July,Mango Store,69,10,5,Christmas LastDay,3,Women's Fashion,2023-04-15,2023-05-15
"
Zara Floral Print Blouse",50,5,7,August,Zara Store,49,20,10,,7,Women's Fashion,2023-04-20,2023-05-20
"
ASOS Wide Leg Jumpsuit",45,4,8,September,ASOS Store,79,15,5,Holi_Day,5,Women's Fashion,2023-04-16,2023-05-16
"
ASOS Floral Print Maxi Dress",30,4,6,July,ASOS Store,89,10,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
Topshop Lace Trim Blouse",40,3,8,August,Topshop Store,59,15,5,,3,Women's Fashion,2023-04-15,2023-05-15
"
Zalando Wide Leg Jumpsuit",35,5,7,September,Zalando Store,79,20,10,Republic Day,7,Women's Fashion,2023-04-20,2023-05-20
"
H&M Striped Wrap Skirt",50,4,8,October,H&M Store,69,15,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
Zara Off-Shoulder Jumpsuit",40,4,8,January,Zara Store,79,15,5,Dhanteras,5,Women's Fashion,2023-04-16,2023-05-16
"
ASOS Striped T-shirt Dress",35,3,9,February,ASOS Store,39,10,5,,3,Women's Fashion,2023-04-15,2023-05-15
"
Topshop Belted Midi Dress",50,5,7,March,Topshop Store,89,20,10,,7,Women's Fashion,2023-04-20,2023-05-20
"
Zalando Floral Print Blouse",45,4,8,April,Zalando Store,59,15,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
H&M Ruffled Wrap Dress",30,3,9,May,H&M Store,89,10,5,,7,Women's Fashion,2023-04-15,2023-05-15
"
Forever 21 Striped Crop Top",40,4,8,June,Forever 21 Store,49,15,5,NewYearPeriod,5,Women's Fashion,2023-04-16,2023-05-16
"
Mango Off-Shoulder Jumpsuit",35,3,9,July,Mango Store,69,10,5,,3,Women's Fashion,2023-04-15,2023-05-15
"
Zara Floral Print Wrap Skirt",50,5,7,August,Zara Store,79,20,10,Republic Day,7,Women's Fashion,2023-04-20,2023-05-20
"
ASOS Sequin Mini Dress",30,4,6,July,ASOS Store,129,10,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
Topshop Crochet Top",40,3,8,August,Topshop Store,69,15,5,Holi_Day,3,Women's Fashion,2023-04-15,2023-05-15
"
Zalando Pleated Maxi Skirt",35,5,7,September,Zalando Store,99,20,10,,7,Women's Fashion,2023-04-20,2023-05-20
"
Mango Off-Shoulder Top",30,5,7,December,Mango Store,49,20,10,,7,Women's Fashion,2023-04-20,2023-05-20
"
Zara Printed Midi Dress",40,4,8,January,Zara Store,89,15,5,Independence Day,5,Women's Fashion,2023-04-16,2023-05-16
"
ASOS Striped Wide Leg Pants",35,3,9,February,ASOS Store,69,10,5,Dushhera,3,Women's Fashion,2023-04-15,2023-05-15
"
Topshop Ruffled Blouse",50,5,7,March,Topshop Store,59,20,10,,7,Women's Fashion,2023-04-20,2023-05-20
"
Zalando Lace Mini Skirt",45,4,8,April,Zalando Store,69,15,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
H&M Floral Print Dress",30,3,9,May,H&M Store,89,10,5,,7,Women's Fashion,2023-04-15,2023-05-15
"
Forever 21 Striped Jumpsuit",40,4,8,June,Forever 21 Store,79,15,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
Mango Polka Dot Midi Skirt",35,3,9,July,Mango Store,59,10,5,,3,Women's Fashion,2023-04-15,2023-05-15
"
Zara Belted Trench Coat",50,5,7,August,Zara Store,109,20,10,NewYearPeriod,7,Women's Fashion,2023-04-20,2023-05-20
"
Carter's Printed Onesie",30,4,6,July,Carter's Store,19,10,5,,5,Kids' Wear,2023-04-16,2023-05-16
"
GAP Denim Overalls",40,3,8,August,GAP Store,39,15,5,GudiPadwa,3,Kids' Wear,2023-04-15,2023-05-15
"
OshKosh B'gosh Dress",35,5,7,September,OshKosh Store,29,20,10,,7,Kids' Wear,2023-04-20,2023-05-20
"
H&M Graphic T-Shirt",50,4,8,October,H&M Store,9,15,5,,5,Kids' Wear,2023-04-16,2023-05-16
"
Zara Printed Leggings",45,3,9,November,Zara Store,19,10,5,Republic Day,7,Kids' Wear,2023-04-15,2023-05-15
"
Old Navy Hooded Sweatshirt",30,5,7,December,Old Navy Store,29,20,10,,7,Kids' Wear,2023-04-20,2023-05-20
"
Crazy 8 Plaid Shirt",40,4,8,January,Crazy 8 Store,19,15,5,,5,Kids' Wear,2023-04-16,2023-05-16
"
Gymboree Floral Skirt",35,3,9,February,Gymboree Store,24,10,5,Independence Day,3,Kids' Wear,2023-04-15,2023-05-15
"
Children's Place Printed Dress",50,5,7,March,Children's Place Store,29,20,10,,7,Kids' Wear,2023-04-20,2023-05-20
"
Janie and Jack Sweater",45,4,8,April,Janie and Jack Store,39,15,5,,5,Kids' Wear,2023-04-16,2023-05-16
"
Carter's Denim Shorts",30,3,9,May,Carter's Store,19,10,5,,7,Kids' Wear,2023-04-15,2023-05-15
"
GAP Striped Romper",40,4,8,June,GAP Store,29,15,5,Holi_Day,5,Kids' Wear,2023-04-16,2023-05-16
"
OshKosh B'gosh Printed Top",35,3,9,July,OshKosh Store,19,10,5,,3,Kids' Wear,2023-04-15,2023-05-15
"
H&M Denim Jacket",50,5,7,August,H&M Store,39,20,10,Christmas LastDay,7,Kids' Wear,2023-04-20,2023-05-20
"
Zara Knit Cardigan",45,4,8,September,Zara Store,29,15,5,,5,Kids' Wear,2023-04-16,2023-04-17
"
Disney Princess Dress",25,3,5,July,Disney Store,25,10,5,,5,Kids' Wear,2023-04-15,2023-05-15
"
Puma Graphic T-Shirt",35,4,7,October,Puma Store,20,15,5,,3,Kids' Wear,2023-04-15,2023-04-17
"
Tommy Hilfiger Polo Shirt",50,3,9,November,Tommy Hilfiger Store,45,10,5,,7,Kids' Wear,2023-04-20,2023-05-20
"
Ralph Lauren Denim Shorts",45,4,8,December,Ralph Lauren Store,40,15,5,MerryChristmas,5,Kids' Wear,2023-04-16,2023-05-16
"
Columbia Waterproof Jacket",30,5,7,January,Columbia Store,70,20,10,,7,Kids' Wear,2023-04-15,2023-05-15
"
The North Face Hoodie",40,4,8,February,The North Face Store,65,15,5,,5,Kids' Wear,2023-04-16,2023-05-16
"
Under Armour Leggings",35,3,9,March,Under Armour Store,30,10,5,NewYearPeriod,3,Kids' Wear,2023-04-15,2023-05-15
"
GapKids Graphic Sweatshirt",50,5,7,April,GapKids Store,25,20,10,Republic Day,7,Kids' Wear,2023-04-20,2023-05-20
"
Carter's Pajama Set",45,4,8,May,Carter's Store,20,15,5,,5,Kids' Wear,2023-04-16,2023-05-16
"
H&M Printed Leggings",30,3,9,June,H&M Store,15,10,5,,7,Kids' Wear,2023-04-15,2023-05-15
"
Zara Denim Skirt",40,4,8,July,Zara Store,30,15,5,GudiPadwa,5,Kids' Wear,2023-04-16,2023-05-16
"
OshKosh B'gosh Hooded Jacket",35,3,9,August,OshKosh Store,35,10,5,,3,Kids' Wear,2023-04-15,2023-04-17
"
Old Navy Graphic Tank Top",50,5,7,September,Old Navy Store,18,20,10,Independence Day,7,Kids' Wear,2023-04-20,2023-05-20
"
Digital Thermometer",50,2,15,January,Medical Supply Co.,10,20,5,,2,Healthcare,2023-04-01,2023-05-01
"
Pulse Oximeter",30,3,10,February,HealthTech Solutions,35,15,5,,3,Healthcare,2023-04-05,2023-05-05
"
N95 Respirator Masks",100,5,20,March,Protective Gear Inc.,5,30,10,,5,Healthcare,2023-03-25,2023-04-25
"
Disposable Gloves",200,1,30,April,Medical Supply Co.,2,50,10,,1,Healthcare,2023-04-10,2023-05-10
"
Hand Sanitizer",150,1,25,May,CleanHands Inc.,8,30,10,,1,Healthcare,2023-04-02,2023-05-02
"
First Aid Kit",40,3,10,June,MediAid Solutions,25,15,5,,3,Healthcare,2023-04-06,2023-05-06
"
Antibacterial Wipes",80,2,20,July,CleanHands Inc.,5,25,5,,2,Healthcare,2023-04-03,2023-05-03
"
Medical Face Shields",60,4,15,August,Protective Gear Inc.,10,20,5,,4,Healthcare,2023-04-08,2023-05-08
"
Infrared Forehead Thermometer",50,2,15,September,HealthTech Solutions,30,20,5,,2,Healthcare,2023-04-01,2023-05-01
"
Pain Relief Gel",70,3,20,October,PharmaRelief,15,25,5,,3,Healthcare,2023-04-06,2023-05-06
"
Antiseptic Mouthwash",90,2,25,November,Oral Care Ltd.,12,30,10,,2,Healthcare,2023-04-04,2023-05-04
"
Eye Drops",100,1,30,December,PharmaVision,8,30,10,,1,Healthcare,2023-04-10,2023-05-10
"
Blood Pressure Monitor",40,3,10,January,HealthTech Solutions,50,15,5,,3,Healthcare,2023-04-05,2023-05-05
"
Multivitamin Supplements",60,2,20,February,PharmaVitamins,20,25,5,,2,Healthcare,2023-04-03,2023-05-03
"
Nasal Spray",80,1,25,March,PharmaRelief,10,30,10,,1,Healthcare,2023-04-09,2023-05-09
"
Wound Dressing",70,3,20,April,MediAid Solutions,15,25,5,,3,Healthcare,2023-04-06,2023-05-06
"
Dental Floss",200,1,30,May,Oral Care Ltd.,2,50,10,,1,Healthcare,2023-04-10,2023-05-10
"
Compression Socks",100,2,20,June,Healthy Legs Inc.,15,30,10,,2,Healthcare,2023-04-05,2023-05-05
"
Hot/Cold Pack",150,1,25,July,MediAid Solutions,8,30,10,,1,Healthcare,2023-04-02,2023-05-02
"
Nebulizer Machine",30,3,10,August,HealthTech Solutions,40,15,5,,3,Healthcare,2023-04-06,2023-05-06
"
Anti-Itch Cream",80,2,20,September,PharmaRelief,10,25,5,,2,Healthcare,2023-04-03,2023-05-03
"
Digestive Enzymes",100,1,30,October,PharmaVitamins,12,30,10,,1,Healthcare,2023-04-09,2023-05-09
"
Allergy Relief Tablets",70,3,10,November,PharmaRelief,8,20,5,,3,Healthcare,2023-04-06,2023-05-06
"
Surgical Masks",200,1,30,December,Protective Gear Inc.,2,50,10,,1,Healthcare,2023-04-10,2023-05-10
"
Eye Mask",50,2,15,January,Healthy Eyes Inc.,10,20,5,,2,Healthcare,2023-04-01,2023-05-01
"
Hand Cream",30,3,10,February,PharmaBeauty,35,15,5,,3,Healthcare,2023-04-05,2023-05-05
"
Throat Lozenges",100,5,20,March,PharmaRelief,5,30,10,,5,Healthcare,2023-03-25,2023-04-25
"
Prenatal Vitamins",200,1,30,April,PharmaVitamins,8,30,10,,1,Healthcare,2023-04-02,2023-05-02
"
Motion Sickness Bands",40,3,10,May,MediAid Solutions,25,15,5,,3,Healthcare,2023-04-06,2023-05-06
"
Diabetic Test Strips",80,2,20,June,HealthTech Solutions,5,25,5,,2,Healthcare,2023-04-03,2023-05-03
"
Muscle Rub",60,4,15,July,PharmaRelief,10,20,5,,4,Healthcare,2023-04-08,2023-05-08
